
2012-05-13 11:21:45 006 29.97 1 1 

2012-05-13 13:45:22 006 37.76 1 1 

2012-05-13 15:11:05 006 33.84 1 1 

2012-05-13 15:19:48 006 30.97 1 1 

2012-05-13 15:49:40 006 34.13 1 1 

2012-05-13 15:56:58 006 36.65 1 1 

2012-05-13 15:46:16 006 47.69 1 2 

2012-05-13 16:16:06 006 29.97 1 1 

2012-05-13 16:53:17 006 31.26 1 1 

2012-05-13 17:05:33 006 31.49 1 1 

2012-05-14 01:12:09 006 52.44 1 2 

2012-05-14 01:14:24 006 45.69 1 2 

2012-05-14 04:08:52 006 51.15 1 2 

2012-05-14 06:02:36 006 53.86 1 2 

2012-05-14 18:52:26 006 37.98 1 1 

2012-05-14 18:59:31 006 31.86 1 1 

2012-05-15 11:46:43 006 30.84 1 1 

2012-05-15 11:56:54 006 42.51 1 1 

2012-05-15 12:40:12 006 37.32 1 1 


2012-05-15 13:16:45 006 33.58 1 1 

2012-05-15 14:40:10 006 33.35 1 1 

2012-05-15 14:51:36 006 33.65 1 1 

2012-05-15 15:30:04 006 31.20 1 1 

2012-05-15 15:39:36 006 36.81 1 1 

2012-05-15 16:55:55 006 34.62 1 1 

2012-05-15 17:03:25 006 33.30 1 1 

2012-05-15 17:46:31 006 33.38 1 1 

2012-05-15 08:13:44 006 31.68 1 1 

2012-05-15 13:28:19 006 34.39 1 1 

2012-05-15 14:00:14 006 31.86 1 1 

2012-05-15 16:00:11 006 51.35 1 2 

2012-05-15 16:11:49 006 33.02 1 1 

2012-05-15 17:05:14 006 34.13 1 1 

2012-05-15 01:28:35 006 33.06 1 1 

2012-05-15 01:39:47 006 31.82 1 1 

2012-05-15 02:35:13 006 31.07 1 1 

2012-05-15 02:41:59 006 51.13 1 2 

2012-05-15 08:52:57 006 32.30 1 1 

2012-05-15 09:09:10 006 40.93 1 1 

2012-05-15 16:07:13 006 32.04 1 1 

2012-05-15 16:13:43 006 43.05 1 2 

2012-05-15 16:17:43 006 45.07 1 2 

2012-05-15 16:18:28 006 34.94 1 1 

2012-05-15 18:04:45 006 28.06 1 1 

2012-05-15 18:05:38 006 51.96 1 2 

2012-05-15 18:08:59 006 50.14 1 2 

2012-05-15 18:18:22 006 33.80 1 1 

2012-05-15 18:55:14 006 29.55 1 1 

